Bulan/Tahun,Provinsi Jawa Batat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kabupaten Bogor,,Kabupaten Sukabumi,,Kabupaten Cianjur,,Kabupaten Bandung,,Kabupaten Garut,,Kabupaten Tasikmalaya,,Kabupaten Ciamis,,Kabupaten Kuningan,,Kabupaten Cirebon,,Kabupaten Majalengka,,Kabupaten Sumedang,,Kabupaten Indramayu,,Kabupaten Subang,,Kabupaten Purwakarta,,Kabupaten Karawang,,Kabupaten Bekasi,,Kabupaten Bandung Barat,,Kabupaten Pangandaran,,Kota Bogor,,Kota Sukabumi,,Kota Bandung,,Kota Cirebon,,Kota Bekasi,,Kota Depok,,Kota Cimahi,,Kota Tasikmalaya,,Kota Banjar,
,Konsumsi (ton),Produksi (ton),Konsumsi (ton),Produksi (ton),Konsumsi (ton),Produksi (ton),Konsumsi (ton),Produksi (ton),Konsumsi (ton),Produksi (ton),Konsumsi (ton),Produksi (ton),Konsumsi (ton),Produksi (ton),Konsumsi (ton),Produksi (ton),Konsumsi (ton),Produksi (ton),Konsumsi (ton),Produksi (ton),Konsumsi (ton),Produksi (ton),Konsumsi (ton),Produksi (ton),Konsumsi (ton),Produksi (ton),Konsumsi (ton),Produksi (ton),Konsumsi (ton),Produksi (ton),Konsumsi (ton),Produksi (ton),Konsumsi (ton),Produksi (ton),Konsumsi (ton),Produksi (ton),Konsumsi (ton),Produksi (ton),Konsumsi (ton),Produksi (ton),Konsumsi (ton),Produksi (ton),Konsumsi (ton),Produksi (ton),Konsumsi (ton),Produksi (ton),Konsumsi (ton),Produksi (ton),Konsumsi (ton),Produksi (ton),Konsumsi (ton),Produksi (ton),Konsumsi (ton),Produksi (ton)
Aug-16,47835.88,51060.44,21626.98,80099.05,19913.90,48313.51,33399.06,48313.51,22731.85,91187.26,15413.53,81368.35,10398.41,58113.50,9394.27,35830.01,18958.64,49544.38,10510.01,60494.77,10103.88,45681.46,15046.74,135732.59,13677.12,98630.86,8251.40,20834.25,20310.24,111733.05,29828.61,50750.88,14582.92,23648.21,3475.17,15981.59,9419.05,552.85,2840.67,2224.19,22033.98,1011.61,2746.80,284.08,24657.79,404.13,19284.33,315.57,5255.17,307.56,5835.39,7374.11,1609.24,4039.46
Sep-16,49430.41,48223.75,20929.34,75649.11,19271.51,45629.43,27440.32,45629.43,21998.56,86121.30,14916.32,76847.88,10062.98,54884.98,9091.23,33839.45,18347.07,46791.91,10170.98,57133.95,9777.95,43143.60,14561.36,128191.89,13235.92,93151.36,7985.23,19676.79,19655.07,105525.66,28866.40,47931.38,14112.50,22334.42,3363.06,15093.72,9115.21,522.13,2749.04,2100.62,21323.21,955.41,2658.19,268.30,23862.38,381.68,18662.25,298.04,5085.65,290.47,5647.15,6964.44,1557.33,3815.05
Oct-16,47835.88,30161.55,21626.98,47314.75,19913.90,28538.93,28019.99,28538.93,22731.85,53864.58,15413.53,48064.52,10398.41,34327.82,9394.27,21164.89,18958.64,29266.01,10510.01,35734.44,10103.88,26984.17,15046.74,80177.64,13677.12,58261.54,8251.40,12306.85,20310.24,66001.04,29828.61,29978.69,14582.92,13969.07,3475.17,9440.37,9419.05,326.57,2840.67,1313.83,22033.98,597.56,2746.80,167.81,24657.79,238.72,19284.33,186.41,5255.17,181.68,5835.39,4355.91,1609.24,2386.12
Nov-16,49430.41,26977.51,20929.34,42319.91,19271.51,25526.19,28592.37,25526.19,21998.56,48178.30,14916.32,42990.53,10062.98,30703.96,9091.23,18930.59,18347.07,26176.51,10170.98,31962.09,9777.95,24135.56,14561.36,71713.59,13235.92,52111.09,7985.23,11007.66,19655.07,59033.56,28866.40,26813.95,14112.50,12494.41,3363.06,8443.79,9115.21,292.09,2749.04,1175.14,21323.21,534.48,2658.19,150.09,23862.38,213.52,18662.25,166.73,5085.65,162.50,5647.15,3896.07,1557.33,2134.23
Dec-16,49188.81,25761.79,21626.98,40412.79,19913.90,24375.86,29155.63,24375.86,22731.85,46007.18,15413.53,41053.19,10398.41,29320.31,9394.27,18077.50,18958.64,24996.88,10510.01,30521.74,10103.88,23047.90,15046.74,68481.86,13677.12,49762.73,8251.40,10511.61,20310.24,56373.25,29828.61,25605.60,14582.92,11931.35,3475.17,8063.27,9419.05,278.93,2840.67,1122.18,22033.98,510.39,2746.80,143.33,24657.79,203.90,19284.33,159.22,5255.17,155.18,5835.39,3720.50,1609.24,2038.05
Jan-17,45666.58,16536.36,21705.56,25697.84,19963.55,15561.59,29711.42,15561.59,22902.89,28437.94,15458.14,25943.49,10456.73,18168.41,9450.14,11977.89,19105.30,17615.68,10560.62,20926.79,10142.26,14955.04,15127.94,47854.11,13823.17,34473.17,8345.49,6964.93,20493.47,39251.32,30963.93,18053.36,14743.25,7772.17,3495.35,5847.61,9563.45,152.95,2864.48,722.34,22098.71,335.31,2771.92,87.32,25298.52,127.71,19945.18,89.57,5317.79,88.44,5851.30,2340.60,1613.55,1336.04
Feb-17,50559.43,39972.00,19605.02,62117.28,18031.59,37615.78,30256.96,37615.78,20686.48,68740.72,13962.19,62711.09,9444.78,43917.02,8535.61,28953.18,17256.40,42580.94,9538.63,50584.64,9160.75,36149.61,13663.95,115673.83,12485.45,83329.18,7537.87,16835.76,18510.23,94879.01,27967.42,43638.91,13316.48,18787.02,3157.09,14134.94,8637.95,369.72,2587.27,1746.05,19960.12,810.52,2503.67,211.08,22850.27,308.70,18015.00,216.52,4803.17,213.79,5285.04,5657.75,1457.40,3229.50
Mar-17,48928.48,80984.36,21705.56,125851.32,19963.55,76210.59,30792.13,76210.59,22902.89,139270.58,15458.14,127054.38,10456.73,88977.09,9450.14,58659.94,19105.30,86270.14,10560.62,102485.86,10142.26,73240.09,15127.94,234358.36,13823.17,168827.21,8345.49,34109.71,20493.47,192227.47,30963.93,88413.63,14743.25,38063.03,3495.35,28637.78,9563.45,749.06,2864.48,3537.55,22098.71,1642.14,2771.92,427.66,25298.52,625.44,19945.18,438.68,5317.79,433.13,5851.30,11462.76,1613.55,6543.06
Apr-17,50559.43,65488.37,21005.38,101770.23,19319.56,61628.04,31314.19,61628.04,22164.09,112621.78,14959.49,102743.10,10119.41,71951.73,9145.30,47435.63,18489.00,69762.74,10219.96,82875.65,9815.09,59225.93,14639.94,189514.94,13377.26,136522.88,8076.29,27582.97,19832.39,155445.61,29965.10,71496.08,14267.66,30779.84,3382.59,23158.07,9254.95,605.73,2772.08,2860.66,21385.85,1327.92,2682.50,345.83,24482.44,505.77,19301.79,354.74,5146.25,350.26,5662.54,9269.41,1561.50,5291.08
May-17,48928.48,45447.61,21705.56,70626.50,19963.55,42768.62,31825.22,42768.62,22902.89,78157.25,15458.14,71301.65,10456.73,49933.06,9450.14,32919.37,19105.30,48413.94,10560.62,57514.04,10142.26,41101.61,15127.94,131519.57,13823.17,94744.14,8345.49,19142.03,20493.47,107876.13,30963.93,49616.85,14743.25,21360.59,3495.35,16071.23,9563.45,420.37,2864.48,1985.24,22098.71,921.55,2771.92,240.00,25298.52,350.99,19945.18,246.18,5317.79,243.07,5851.30,6432.78,1613.55,3671.90
Jun-17,50559.43,45776.15,21005.38,71137.05,19319.56,43077.79,32321.67,43077.79,22164.09,78722.25,14959.49,71817.08,10119.41,50294.02,9145.30,33157.35,18489.00,48763.92,10219.96,57929.80,9815.09,41398.73,14639.94,132470.31,13377.26,95429.04,8076.29,19280.40,19832.39,108655.96,29965.10,49975.52,14267.66,21515.00,3382.59,16187.41,9254.95,423.40,2772.08,1999.59,21385.85,928.21,2682.50,241.73,24482.44,353.53,19301.79,247.96,5146.25,244.83,5662.54,6479.29,1561.50,3698.44
Jul-17,50559.43,55906.04,21705.56,86879.10,19963.55,52610.56,28355.00,52610.56,22902.89,96142.84,15458.14,87709.62,10456.73,61423.67,9450.14,40494.80,19105.30,59554.98,10560.62,70749.20,10142.26,50559.93,15127.94,161784.91,13823.17,116546.71,8345.49,23547.00,20493.47,132700.64,30963.93,61034.70,14743.25,26276.10,3495.35,19769.55,9563.45,517.10,2864.48,2442.08,22098.71,1133.62,2771.92,295.23,25298.52,431.76,19945.18,302.83,5317.79,299.01,5851.30,7913.10,1613.55,4516.88
Aug-17,48928.48,48294.93,21705.56,75051.29,19963.55,45448.10,28953.99,45448.10,22902.89,83053.85,15458.14,75768.74,10456.73,53061.39,9450.14,34981.79,19105.30,51447.10,10560.62,61117.33,10142.26,43676.65,15127.94,139759.35,13823.17,100679.92,8345.49,20341.29,20493.47,114634.64,30963.93,52725.37,14743.25,22698.84,3495.35,17078.11,9563.45,446.70,2864.48,2109.62,22098.71,979.29,2771.92,255.03,25298.52,372.98,19945.18,261.61,5317.79,258.30,5851.30,6835.80,1613.55,3901.95
Sep-17,50559.43,45611.88,21005.38,70881.78,19319.56,42923.21,29545.45,42923.21,22164.09,78439.75,14959.49,71559.36,10119.41,50113.54,9145.30,33038.36,18489.00,48588.93,10219.96,57721.92,9815.09,41250.17,14639.94,131994.94,13377.26,95086.59,8076.29,19211.21,19832.39,108266.05,29965.10,49796.18,14267.66,21437.80,3382.59,16129.32,9254.95,421.89,2772.08,1992.41,21385.85,924.88,2682.50,240.87,24482.44,352.26,19301.79,247.07,5146.25,243.95,5662.54,6456.04,1561.50,3685.17
Oct-17,48928.48,28527.96,21705.56,44333.02,19963.55,26846.33,30127.49,26846.33,22902.89,49060.16,15458.14,44756.82,10456.73,31343.52,9450.14,20663.85,19105.30,30389.96,10560.62,36102.18,10142.26,25799.93,15127.94,82556.26,13823.17,59471.92,8345.49,12015.66,20493.47,67715.02,30963.93,31145.03,14743.25,13408.27,3495.35,10088.09,9563.45,263.87,2864.48,1246.16,22098.71,578.47,2771.92,150.65,25298.52,220.32,19945.18,154.53,5317.79,152.58,5851.30,4037.93,1613.55,2304.89
Nov-17,50559.43,25516.37,21005.38,39652.95,19319.56,24012.26,30701.80,24012.26,22164.09,43881.06,14959.49,40032.01,10119.41,28034.70,9145.30,18482.44,18489.00,27181.80,10219.96,32291.01,9815.09,23076.32,14639.94,73841.11,13377.26,53193.70,8076.29,10747.21,19832.39,60566.60,29965.10,27857.17,14267.66,11992.81,3382.59,9023.13,9254.95,236.01,2772.08,1114.60,21385.85,517.40,2682.50,134.75,24482.44,197.06,19301.79,138.22,5146.25,136.47,5662.54,3611.66,1561.50,2061.57
Dec-17,50312.31,24366.49,21705.56,37866.02,19963.55,22930.16,31265.53,22930.16,22902.89,41903.59,15458.14,38227.99,10456.73,26771.34,9450.14,17649.54,19105.30,25956.87,10560.62,30835.84,10142.26,22036.40,15127.94,70513.50,13823.17,50796.56,8345.49,10262.89,20493.47,57837.20,30963.93,26601.80,14743.25,11452.36,3495.35,8616.50,9563.45,225.38,2864.48,1064.38,22098.71,494.08,2771.92,128.67,25298.52,188.18,19945.18,131.99,5317.79,130.32,5851.30,3448.90,1613.55,1968.67
Jan-18,46672.59,11214.29,21769.21,16051.01,19999.21,8238.61,31818.53,8238.61,23058.24,14245.75,15493.32,16088.27,10515.54,9752.94,9505.84,10808.88,19252.48,17291.14,10609.94,17661.29,10172.97,10487.10,15209.27,44058.51,13969.22,31368.09,8434.64,5781.81,20666.16,35591.97,32121.84,16681.19,14895.42,5604.14,3513.83,6536.51,9703.40,3.58,2886.55,451.43,22149.75,246.64,2798.03,43.78,25937.85,43.52,20615.94,11.40,5377.17,21.94,5862.96,1464.80,1617.36,976.17
Feb-18,51673.22,27107.40,19662.51,38798.80,18063.80,19914.52,32357.99,19914.52,20826.80,34435.10,13993.97,38888.93,9497.91,23575.00,8585.92,26127.44,17389.33,41796.46,9583.17,42691.19,9188.48,25349.62,13737.40,106499.05,12617.36,75823.52,7618.39,13975.89,18666.21,86033.57,29013.27,40322.08,13453.93,13546.43,3173.78,15800.17,8764.36,8.65,2607.20,1091.21,20006.23,596.18,2527.26,105.82,23427.73,105.20,18620.85,27.54,4856.80,53.02,5295.58,3540.74,1460.84,2359.63
Mar-18,50006.34,54920.33,21769.21,78607.43,19999.21,40347.36,32886.06,40347.36,23058.24,69766.45,15493.32,78790.19,10515.54,47763.59,9505.84,52934.90,19252.48,84680.77,10609.94,86493.52,10172.97,51359.02,15209.27,215769.99,13969.22,153620.53,8434.64,28315.54,20666.16,174306.37,32121.84,81693.63,14895.42,27445.44,3513.83,32011.57,9703.40,17.52,2886.55,2210.83,22149.75,1207.88,2798.03,214.39,25937.85,213.15,20615.94,55.81,5377.17,107.43,5862.96,7173.64,1617.36,4780.67
Apr-18,51673.22,44411.58,21066.98,63566.25,19354.07,32627.07,33399.06,32627.07,22314.42,56416.95,14993.54,63714.17,10176.33,38624.24,9199.20,42806.04,18631.43,68477.49,10267.69,69943.37,9844.81,41531.70,14718.65,174483.38,13518.60,124225.93,8162.56,22897.49,19999.51,140953.63,31085.65,66061.92,14414.92,22193.88,3400.48,25886.30,9390.38,14.16,2793.43,1787.79,21435.25,976.76,2707.77,173.36,25101.14,172.36,19950.91,45.13,5203.71,86.87,5673.84,5800.99,1565.19,3865.91
May-18,50006.34,30820.74,21769.21,44113.70,19999.21,22642.53,27440.32,22642.53,23058.24,39152.23,15493.32,44216.44,10515.54,26804.45,9505.84,29706.54,19252.48,47522.00,10609.94,48539.30,10172.97,28822.17,15209.27,121087.96,13969.22,86210.30,8434.64,15890.40,20666.16,97818.99,32121.84,45845.65,14895.42,15402.11,3513.83,17964.57,9703.40,9.83,2886.55,1240.69,22149.75,677.85,2798.03,120.31,25937.85,119.62,20615.94,31.32,5377.17,60.29,5862.96,4025.77,1617.36,2682.86
Jun-18,51673.22,31043.54,21066.98,44432.60,19354.07,22806.21,28019.99,22806.21,22314.42,39435.26,14993.54,44536.17,10176.33,26998.22,9199.20,29921.28,18631.43,47865.53,10267.69,48890.18,9844.81,29030.52,14718.65,121963.30,13518.60,86833.51,8162.56,16005.27,19999.51,98526.12,31085.65,46177.06,14414.92,15513.45,3400.48,18094.44,9390.38,9.90,2793.43,1249.66,21435.25,682.75,2707.77,121.18,25101.14,120.48,19950.91,31.54,5203.71,60.72,5673.84,4054.88,1565.19,2702.26
Jul-18,51673.22,37913.23,21769.21,54265.17,19999.21,27853.04,28592.37,27853.04,23058.24,48161.96,15493.32,54391.77,10515.54,32972.70,9505.84,36542.62,19252.48,58457.79,10609.94,59709.18,10172.97,35454.74,15209.27,148952.78,13969.22,106049.06,8434.64,19547.10,20666.16,120329.15,32121.84,56395.67,14895.42,18946.45,3513.83,22098.59,9703.40,12.09,2886.55,1526.20,22149.75,833.84,2798.03,148.00,25937.85,147.14,20615.94,38.52,5377.17,74.16,5862.96,4952.19,1617.36,3300.25
Aug-18,50006.34,32751.68,21769.21,46877.45,19999.21,24061.10,29155.63,24061.10,23058.24,41605.14,15493.32,46986.91,10515.54,28483.77,9505.84,31567.67,19252.48,50499.28,10609.94,51580.31,10172.97,30627.89,15209.27,128674.20,13969.22,91611.43,8434.64,16885.94,20666.16,103947.41,32121.84,48717.90,14895.42,16367.06,3513.83,19090.06,9703.40,10.45,2886.55,1318.42,22149.75,720.32,2798.03,127.85,25937.85,127.11,20615.94,33.28,5377.17,64.06,5862.96,4277.99,1617.36,2850.95
Sep-18,51673.22,30932.14,21066.98,44273.15,19354.07,22724.37,29711.42,22724.37,22314.42,39293.75,14993.54,44376.61,10176.33,26901.33,9199.20,29813.91,18631.43,47693.77,10267.69,48714.74,9844.81,28926.34,14718.65,121525.63,13518.60,86521.91,8162.56,15947.83,19999.51,98172.56,31085.65,46011.35,14414.92,15457.78,3400.48,18029.50,9390.38,9.87,2793.43,1245.18,21435.25,680.30,2707.77,120.75,25101.14,120.05,19950.91,31.43,5203.71,60.50,5673.84,4040.33,1565.19,2692.56
Oct-18,50006.34,19346.51,21769.21,27690.65,19999.21,14212.96,30256.96,14212.96,23058.24,24576.28,15493.32,27755.41,10515.54,16825.44,9505.84,18647.11,19252.48,29830.08,10609.94,30468.64,10172.97,18091.99,15209.27,76008.23,13969.22,54115.14,8434.64,9974.58,20666.16,61402.04,32121.84,28777.81,14895.42,9668.07,3513.83,11276.56,9703.40,6.17,2886.55,778.80,22149.75,425.49,2798.03,75.52,25937.85,75.08,20615.94,19.66,5377.17,37.84,5862.96,2527.02,1617.36,1684.06
Nov-18,51673.22,17304.18,21066.98,24767.45,19354.07,12712.55,30792.13,12712.55,22314.42,21981.86,14993.54,24825.43,10176.33,15049.25,9199.20,16678.61,18631.43,26681.03,10267.69,27252.18,9844.81,16182.08,14718.65,67984.33,13518.60,48402.41,8162.56,8921.60,19999.51,54920.06,31085.65,25739.85,14414.92,8647.45,3400.48,10086.13,9390.38,5.52,2793.43,696.58,21435.25,380.58,2707.77,67.55,25101.14,67.16,19950.91,17.58,5203.71,33.85,5673.84,2260.25,1565.19,1506.28
Dec-18,51420.66,16524.37,21769.21,23651.32,19999.21,12139.67,31314.19,12139.67,23058.24,20991.26,15493.32,23706.73,10515.54,14371.06,9505.84,15927.00,19252.48,25478.66,10609.94,26024.08,10172.97,15452.85,15209.27,64920.65,13969.22,46221.19,8434.64,8519.55,20666.16,52445.12,32121.84,24579.90,14895.42,8257.76,3513.83,9631.61,9703.40,5.27,2886.55,665.19,22149.75,363.43,2798.03,64.50,25937.85,64.13,20615.94,16.79,5377.17,32.32,5862.96,2158.40,1617.36,1438.40
Jan-19,47667.44,9744.68,21818.57,14837.73,20020.90,10895.37,31825.22,10895.37,23200.02,14224.64,15518.38,13966.56,10573.46,8759.43,9561.64,6962.15,19400.13,15907.94,10660.67,18105.62,10195.03,9580.34,15291.38,43567.95,14117.91,29846.50,8518.50,4552.32,20824.57,35382.02,33298.27,17397.67,15038.61,5032.44,3532.38,5526.50,9838.34,9.63,2907.76,478.06,22186.73,231.61,2824.88,34.53,26575.05,96.39,21292.66,14.72,5434.61,12.87,5869.99,1172.47,1619.93,909.85
Feb-19,52774.67,23555.02,19707.09,35866.04,18083.39,26336.50,32321.67,26336.50,20954.85,34384.06,14016.61,33760.24,9550.22,21173.45,8636.32,16829.05,17522.70,38452.96,9628.99,43765.25,9208.41,23157.77,13811.57,105313.24,12751.66,72145.52,7694.13,11003.94,18809.29,85526.07,30075.86,42053.98,13583.26,12164.50,3190.53,13358.75,8886.24,23.28,2626.36,1155.59,20039.63,559.86,2551.51,83.46,24003.27,232.99,19232.08,35.58,4908.68,31.11,5301.93,2834.13,1463.17,2199.31
Mar-19,51072.26,47723.12,21818.57,72665.59,20020.90,53358.46,28355.00,53358.46,23200.02,69663.06,15518.38,68399.17,10573.46,42897.99,9561.64,34096.11,19400.13,77906.76,10660.67,88669.60,10195.03,46918.27,15291.38,213367.52,14117.91,146168.80,8518.50,22294.29,20824.57,173278.15,33298.27,85202.51,15038.61,24645.62,3532.38,27065.19,9838.34,47.17,2907.76,2341.25,22186.73,1134.28,2824.88,169.09,26575.05,472.05,21292.66,72.09,5434.61,63.02,5869.99,5742.02,1619.93,4455.86
Apr-19,52774.67,38591.51,21114.74,58761.35,19375.06,43148.56,28953.99,43148.56,22451.63,56333.34,15017.79,55311.29,10232.38,34689.65,9253.20,27571.97,18774.32,62999.65,10316.78,71703.07,9866.16,37940.67,14798.11,172540.60,13662.50,118200.05,8243.71,18028.38,20152.81,140122.16,32224.13,68899.40,14553.49,19929.79,3418.43,21886.39,9520.97,38.14,2813.96,1893.26,21471.03,917.24,2733.76,136.73,25717.79,381.73,20605.80,58.29,5259.30,50.96,5680.63,4643.31,1567.68,3603.25
May-19,51072.26,26781.74,21818.57,40779.20,20020.90,29944.23,29545.45,29944.23,23200.02,39094.21,15518.38,38384.93,10573.46,24073.92,9561.64,19134.39,19400.13,43720.49,10660.67,49760.49,10195.03,26330.06,15291.38,119739.72,14117.91,82028.47,8518.50,12511.33,20824.57,97241.97,33298.27,47814.80,15038.61,13830.87,3532.38,15188.71,9838.34,26.47,2907.76,1313.89,22186.73,636.55,2824.88,94.89,26575.05,264.91,21292.66,40.45,5434.61,35.37,5869.99,3222.36,1619.93,2500.59
Jun-19,52774.67,26975.34,21114.74,41073.99,19375.06,30160.70,30127.49,30160.70,22451.63,39376.82,15017.79,38662.41,10232.38,24247.95,9253.20,19272.72,18774.32,44036.54,10316.78,50120.20,9866.16,26520.40,14798.11,120605.30,13662.50,82621.44,8243.71,12601.78,20152.81,97944.92,32224.13,48160.45,14553.49,13930.85,3418.43,15298.51,9520.97,26.66,2813.96,1323.39,21471.03,641.15,2733.76,95.58,25717.79,266.83,20605.80,40.75,5259.30,35.62,5680.63,3245.66,1567.68,2518.66
Jul-19,52774.67,32944.76,21818.57,50163.33,20020.90,36835.02,30701.80,36835.02,23200.02,48090.59,15518.38,47218.09,10573.46,29613.82,9561.64,23537.61,19400.13,53781.47,10660.67,61211.40,10195.03,32389.15,15291.38,147294.28,14117.91,100904.90,8518.50,15390.45,20824.57,119619.33,33298.27,58817.96,15038.61,17013.64,3532.38,18683.95,9838.34,32.56,2907.76,1616.24,22186.73,783.03,2824.88,116.73,26575.05,325.87,21292.66,49.76,5434.61,43.50,5869.99,3963.89,1619.93,3076.02
Aug-19,51072.26,28459.63,21818.57,43334.04,20020.90,31820.26,31265.53,31820.26,23200.02,41543.49,15518.38,40789.77,10573.46,25582.17,9561.64,20333.18,19400.13,46459.61,10660.67,52878.02,10195.03,27979.66,15291.38,127241.48,14117.91,87167.60,8518.50,13295.18,20824.57,103334.23,33298.27,50810.42,15038.61,14697.39,3532.38,16140.30,9838.34,28.13,2907.76,1396.20,22186.73,676.43,2824.88,100.84,26575.05,281.51,21292.66,42.99,5434.61,37.58,5869.99,3424.25,1619.93,2657.25
Sep-19,52774.67,26878.54,21114.74,40926.60,19375.06,30052.47,31818.53,30052.47,22451.63,39235.51,15017.79,38523.67,10232.38,24160.93,9253.20,19203.55,18774.32,43878.52,10316.78,49940.35,9866.16,26425.23,14798.11,120172.51,13662.50,82324.95,8243.71,12556.55,20152.81,97593.44,32224.13,47987.62,14553.49,13880.86,3418.43,15243.61,9520.97,26.57,2813.96,1318.64,21471.03,638.85,2733.76,95.23,25717.79,265.87,20605.80,40.60,5259.30,35.49,5680.63,3234.01,1567.68,2509.62
Oct-19,51072.26,16811.19,21818.57,25597.55,20020.90,18796.32,32357.99,18796.32,23200.02,24539.86,15518.38,24094.64,10573.46,15111.46,9561.64,12010.87,19400.13,27443.83,10660.67,31235.20,10195.03,16527.67,15291.38,75161.92,14117.91,51490.16,8518.50,7853.50,20824.57,61039.84,33298.27,30013.87,15038.61,8681.79,3532.38,9534.12,9838.34,16.62,2907.76,824.74,22186.73,399.57,2824.88,59.56,26575.05,166.29,21292.66,25.39,5434.61,22.20,5869.99,2022.71,1619.93,1569.65
Nov-19,52774.67,15036.49,21114.74,22895.31,19375.06,16812.06,32886.06,16812.06,22451.63,21949.28,15017.79,21551.06,10232.38,13516.20,9253.20,10742.92,18774.32,24546.69,10316.78,27937.82,9866.16,14782.90,14798.11,67227.36,13662.50,46054.54,8243.71,7024.43,20152.81,54596.09,32224.13,26845.42,14553.49,7765.29,3418.43,8527.64,9520.97,14.86,2813.96,737.68,21471.03,357.39,2733.76,53.28,25717.79,148.73,20605.80,22.71,5259.30,19.86,5680.63,1809.18,1567.68,1403.94
Dec-19,52516.73,14358.88,21818.57,21863.55,20020.90,16054.44,33399.06,16054.44,23200.02,20960.15,15518.38,20579.87,10573.46,12907.10,9561.64,10258.80,19400.13,23440.51,10660.67,26678.82,10195.03,14116.72,15291.38,64197.80,14117.91,43979.12,8518.50,6707.88,20824.57,52135.75,33298.27,25635.64,15038.61,7415.35,3532.38,8143.35,9838.34,14.19,2907.76,704.43,22186.73,341.28,2824.88,50.88,26575.05,142.03,21292.66,21.69,5434.61,18.96,5869.99,1727.65,1619.93,1340.68
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
