Bulan/Tahun,Provinsi Jawa Batat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kabupaten Bogor,,Kabupaten Sukabumi,,Kabupaten Cianjur,,Kabupaten Bandung,,Kabupaten Garut,,Kabupaten Tasikmalaya,,Kabupaten Ciamis,,Kabupaten Kuningan,,Kabupaten Cirebon,,Kabupaten Majalengka,,Kabupaten Sumedang,,Kabupaten Indramayu,,Kabupaten Subang,,Kabupaten Purwakarta,,Kabupaten Karawang,,Kabupaten Bekasi,,Kabupaten Bandung Barat,,Kabupaten Pangandaran,,Kota Bogor,,Kota Sukabumi,,Kota Bandung,,Kota Cirebon,,Kota Bekasi,,Kota Depok,,Kota Cimahi,,Kota Tasikmalaya,,Kota Banjar,
,Konsumsi (ton),Produksi (ton),Konsumsi (ton),Produksi (ton),Konsumsi (ton),Produksi (ton),Konsumsi (ton),Produksi (ton),Konsumsi (ton),Produksi (ton),Konsumsi (ton),Produksi (ton),Konsumsi (ton),Produksi (ton),Konsumsi (ton),Produksi (ton),Konsumsi (ton),Produksi (ton),Konsumsi (ton),Produksi (ton),Konsumsi (ton),Produksi (ton),Konsumsi (ton),Produksi (ton),Konsumsi (ton),Produksi (ton),Konsumsi (ton),Produksi (ton),Konsumsi (ton),Produksi (ton),Konsumsi (ton),Produksi (ton),Konsumsi (ton),Produksi (ton),Konsumsi (ton),Produksi (ton),Konsumsi (ton),Produksi (ton),Konsumsi (ton),Produksi (ton),Konsumsi (ton),Produksi (ton),Konsumsi (ton),Produksi (ton),Konsumsi (ton),Produksi (ton),Konsumsi (ton),Produksi (ton),Konsumsi (ton),Produksi (ton),Konsumsi (ton),Produksi (ton),Konsumsi (ton),Produksi (ton)
Aug-11,42325.39,46009.97,21024.33,66931.14,19471.79,42932.91,30166.90,42932.91,21678.42,83846.94,15035.84,74778.00,10105.06,63308.48,9114.00,35495.21,18227.91,48344.53,10252.37,54235.56,9820.66,42543.44,14633.63,130811.67,12959.66,97980.95,7719.69,20134.58,19217.76,105002.74,24498.33,53135.12,13669.32,20605.48,3377.07,14950.96,8641.46,846.69,2695.65,2253.95,21490.39,523.97,2618.48,355.17,21471.80,423.67,16129.29,460.83,4902.66,302.84,5700.02,7182.74,1571.07,3920.61
Sep-11,43736.23,43453.86,20346.12,63212.75,18843.67,40547.74,28355.00,40547.74,20979.11,79188.78,14550.81,70623.66,9779.09,59791.34,8820.00,33523.25,17639.91,45658.72,9921.65,51222.47,9503.86,40179.92,14161.57,123544.35,12541.60,92537.56,7470.67,19015.99,18597.84,99169.26,23708.06,50183.16,13228.37,19460.73,3268.13,14120.35,8362.70,799.65,2608.69,2128.73,20797.15,494.86,2534.01,335.44,20779.16,400.13,15608.99,435.23,4744.51,286.02,5516.15,6783.70,1520.39,3702.79
Oct-11,42325.39,27178.22,21024.33,39536.42,19471.79,25360.59,28953.99,25360.59,21678.42,49528.64,15035.84,44171.58,10105.06,37396.51,9114.00,20967.12,18227.91,28557.25,10252.37,32037.10,9820.66,25130.54,14633.63,77270.84,12959.66,57877.63,7719.69,11893.55,19217.76,62025.43,24498.33,31387.07,13669.32,12171.72,3377.07,8831.57,8641.46,500.14,2695.65,1331.41,21490.39,309.51,2618.48,209.80,21471.80,250.26,16129.29,272.21,4902.66,178.89,5700.02,4242.87,1571.07,2315.91
Nov-11,43736.23,24309.12,20346.12,35362.71,18843.67,22683.37,29545.45,22683.37,20979.11,44300.09,14550.81,39508.56,9779.09,33448.70,8820.00,18753.70,17639.91,25542.57,9921.65,28655.07,9503.86,22477.60,14161.57,69113.65,12541.60,51767.71,7470.67,10638.00,18597.84,55477.64,23708.06,28073.65,13228.37,10886.80,3268.13,7899.26,8362.70,447.34,2608.69,1190.86,20797.15,276.84,2534.01,187.65,20779.16,223.84,15608.99,243.48,4744.51,160.01,5516.15,3794.96,1520.39,2071.43
Dec-11,43522.47,23213.65,21024.33,33769.11,19471.79,21661.16,30127.49,21661.16,21678.42,42303.73,15035.84,37728.13,10105.06,31941.35,9114.00,17908.58,18227.91,24391.51,10252.37,27363.75,9820.66,21464.66,14633.63,65999.08,12959.66,49434.83,7719.69,10158.60,19217.76,52977.57,24498.33,26808.53,13669.32,10396.19,3377.07,7543.28,8641.46,427.18,2695.65,1137.20,21490.39,264.36,2618.48,179.19,21471.80,213.75,16129.29,232.50,4902.66,152.80,5700.02,3623.94,1571.07,1978.08
Jan-12,40537.44,15662.31,21172.03,26138.56,19585.79,15175.18,30701.80,15175.18,21914.48,29286.47,15131.76,22519.46,10163.02,19146.25,9169.63,10631.15,18371.36,14221.66,10304.06,19022.58,9889.98,14166.11,14715.71,43573.46,13099.50,31452.22,7832.82,6161.07,19457.55,34060.57,25516.77,15586.12,13866.43,7302.06,3396.41,5119.26,8803.26,202.23,2728.39,659.04,21626.99,428.07,2643.64,64.16,22104.55,118.70,16737.94,125.41,4978.27,99.83,5734.29,2228.77,1581.17,1263.52
Feb-12,44880.74,37859.23,19123.13,63182.61,17690.39,36681.72,31265.53,36681.72,19793.73,70791.79,13667.40,54434.46,9179.50,46280.67,8282.25,25697.82,16593.48,34376.87,9306.89,45981.74,8932.89,34242.59,13291.61,105326.58,11831.80,76026.89,7074.80,14892.66,17574.57,82331.85,23047.40,37675.07,12524.51,17650.68,3067.73,12374.38,7951.33,488.83,2464.35,1593.05,19534.05,1034.75,2387.80,155.09,19965.40,286.92,15118.14,303.14,4496.50,241.32,5179.36,5387.43,1428.15,3054.20
Mar-12,43432.98,76703.84,21172.03,128009.69,19585.79,74318.16,31818.53,74318.16,21914.48,143426.11,15131.76,110285.72,10163.02,93765.90,9169.63,52064.49,18371.36,69648.48,10304.06,93160.26,9889.98,69376.43,14715.71,213394.54,13099.50,154032.56,7832.82,30172.93,19457.55,166806.58,25516.77,76330.72,13866.43,35760.77,3396.41,25070.82,8803.26,990.39,2728.39,3227.57,21626.99,2096.43,2643.64,314.22,22104.55,581.31,16737.94,614.17,4978.27,488.92,5734.29,10915.09,1581.17,6187.90
Apr-12,44880.74,62026.91,20489.07,103515.61,18953.99,60097.72,32357.99,60097.72,21207.56,115982.17,14643.64,89183.04,9835.18,75824.22,8873.84,42102.18,17778.73,56321.56,9971.67,75334.46,9570.95,56101.56,14241.01,172562.46,12676.93,124559.12,7580.14,24399.48,18829.89,134888.89,24693.65,61725.18,13419.12,28918.10,3286.85,20273.63,8519.29,800.89,2640.38,2609.99,20929.34,1695.28,2558.36,254.09,21391.50,470.08,16198.01,496.65,4817.68,395.37,5549.31,8826.53,1530.16,5003.87
May-12,43432.98,43045.43,21172.03,71837.76,19585.79,41706.61,32886.06,41706.61,21914.48,80489.30,15131.76,61891.24,10163.02,52620.49,9169.63,29218.07,18371.36,39086.03,10304.06,52280.60,9889.98,38933.36,14715.71,119754.88,13099.50,86441.53,7832.82,16932.75,19457.55,93610.19,25516.77,42836.04,13866.43,20068.58,3396.41,14069.50,8803.26,555.80,2728.39,1811.28,21626.99,1176.49,2643.64,176.33,22104.55,326.22,16737.94,344.67,4978.27,274.38,5734.29,6125.44,1581.17,3472.59
Jun-12,44880.74,43356.60,20489.07,72357.07,18953.99,42008.10,33399.06,42008.10,21207.56,81071.15,14643.64,62338.65,9835.18,53000.88,8873.84,29429.29,17778.73,39368.58,9971.67,52658.54,9570.95,39214.81,14241.01,120620.58,12676.93,87066.41,7580.14,17055.15,18829.89,94286.89,24693.65,43145.70,13419.12,20213.66,3286.85,14171.20,8519.29,559.82,2640.38,1824.37,20929.34,1185.00,2558.36,177.61,21391.50,328.58,16198.01,347.16,4817.68,276.36,5549.31,6169.72,1530.16,3497.69
Jul-12,44880.74,52951.07,21172.03,88369.10,19585.79,51304.15,27440.32,51304.15,21914.48,99011.53,15131.76,76133.68,10163.02,64729.54,9169.63,35941.75,18371.36,48080.53,10304.06,64311.44,9889.98,47892.72,14715.71,147312.93,13099.50,106333.50,7832.82,20829.32,19457.55,115151.81,25516.77,52693.49,13866.43,24686.78,3396.41,17307.17,8803.26,683.70,2728.39,2228.09,21626.99,1447.23,2643.64,216.91,22104.55,401.29,16737.94,423.98,4978.27,337.52,5734.29,7535.02,1581.17,4271.70
