Bulan/Tahun,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kabupaten Bogor,Kabupaten Sukabumi,Kabupaten Cianjur,Kabupaten Bandung,Kabupaten Garut,Kabupaten Tasikmalaya,Kabupaten Ciamis,Kabupaten Kuningan,Kabupaten Cirebon,Kabupaten Majalengka,Kabupaten Sumedang,Kabupaten Indramayu,Kabupaten Subang,Kabupaten Purwakarta,Kabupaten Karawang,Kabupaten Bekasi,Kabupaten Bandung Barat,Kabupaten Pangandaran,Kota Bogor,Kota Sukabumi,Kota Bandung,Kota Cirebon,Kota Bekasi,Kota Depok,Kota Cimahi,Kota Tasikmalaya,Kota Banjar
,Ketersediaan/Kekurangan (ton),Ketersediaan/Kekurangan (ton),Ketersediaan/Kekurangan (ton),Ketersediaan/Kekurangan (ton),Ketersediaan/Kekurangan (ton),Ketersediaan/Kekurangan (ton),Ketersediaan/Kekurangan (ton),Ketersediaan/Kekurangan (ton),Ketersediaan/Kekurangan (ton),Ketersediaan/Kekurangan (ton),Ketersediaan/Kekurangan (ton),Ketersediaan/Kekurangan (ton),Ketersediaan/Kekurangan (ton),Ketersediaan/Kekurangan (ton),Ketersediaan/Kekurangan (ton),Ketersediaan/Kekurangan (ton),Ketersediaan/Kekurangan (ton),Ketersediaan/Kekurangan (ton),Ketersediaan/Kekurangan (ton),Ketersediaan/Kekurangan (ton),Ketersediaan/Kekurangan (ton),Ketersediaan/Kekurangan (ton),Ketersediaan/Kekurangan (ton),Ketersediaan/Kekurangan (ton),Ketersediaan/Kekurangan (ton),Ketersediaan/Kekurangan (ton),Ketersediaan/Kekurangan (ton)
19-Feb,-732703.98,305920.7,-13523.99,-299952.89,291232,469106.26,305161.45,225200.14,237448.63,534126.54,266236.66,1528933.7,1014944.39,48631.28,1035091.43,-80375.43,-101668.55,168067.18,-242452.88,-48957.19,-551184.75,-68285.46,-650244.48,-516066.36,-134052.41,-71156.22,6657.32
19-Mar,-753834.75,329692.52,-67.79,-294830.79,311738.59,496501.52,321502.19,237030.4,266927.2,579097.17,285478.16,1647509.09,1092532.78,54100.21,1122981.58,-60217.64,-101244.5,181515.51,-252261.62,-50396.05,-572659.84,-71004.25,-676523.36,-537313.79,-139447.48,-73423.67,7832.99
19-Apr,-782397.11,345444.65,7628.55,-296713.37,324630.5,516186.03,333034.09,245075.86,287678.86,613766.9,299415.98,1740962.95,1153029,57167.51,1190741.41,-49214.29,-103294.04,191828.6,-261758.66,-52022.18,-593555.39,-73652.22,-702001.65,-557883.02,-144674.81,-76191.09,8526
19-May,-816666.51,349210.96,6394.67,-307471.81,325958.19,524750.35,337564.61,247519.15,295708.97,634325.96,305740.43,1800796.27,1190375.74,56498.61,1230926.45,-52513.56,-109655.15,197825.62,-271580.39,-54105.6,-615342.76,-76417.57,-728410.49,-579150.3,-150087.24,-80039.37,8474.93
19-Jun,-852516.85,353866.04,5942.42,-318676.47,328211.58,533989.36,342545.39,250357.65,304563.17,655454.6,312513.17,1861665.92,1228549.94,56161.26,1272224.29,-54521.83,-115468.43,204005.47,-281084.63,-56089.27,-636411.53,-79091.36,-753960.87,-599730.53,-155324.19,-83683.68,8487.46
19-Jul,-884621.98,363519.94,9031.81,-326267.99,335183.6,548095.6,350551.65,255563.51,318905.54,683197.96,322639.1,1938786.97,1277739.76,57298.72,1326448.89,-50917.71,-119832.67,212195.41,-290902.54,-57983,-658106.99,-81843.01,-780331.46,-620991.97,-160731.51,-87066.72,8797.42
19-Aug,-917838.67,368889.16,8974.94,-337569.49,338047.96,558168.72,356028.44,258758.91,328654.17,705712.96,329998.51,2003326.89,1318310.8,57121.61,1370456.22,-52337.53,-125650.14,218789.45,-300723.23,-60014.78,-679869.33,-84604.63,-806729.89,-642257.66,-166142.54,-90788.34,8844.65
19-Sep,-953749.74,373451.76,8454.8,-350533.1,340212.69,567320.67,360954.63,261554.03,337409.23,726728.75,336711.54,2063925,1356298.98,56755.88,1411533.54,-54454.22,-131494.78,224934.86,-310227.53,-62001.43,-700939.55,-87278.64,-832280.87,-662837.99,-171379.58,-94439.95,8851.51
19-Oct,-994274.67,367693.1,226.71,-371098.28,332408.98,566919.26,359862.1,259528.01,335227.36,735665.04,336885.97,2095790.21,1374485.99,53164.66,1429005.36,-68921.8,-141086.43,227384.19,-320055.44,-64391.75,-722875.6,-90066.15,-858751.59,-684114.72,-176800.26,-99040.89,8216.37
19-Nov,-1037615.44,360942.87,-8600.47,-393436.45,323728.33,565422.61,358109.79,257014.93,331853.63,742876.45,336294.61,2123170.54,1389718.11,49328.08,1443106.14,-84303.12,-150767.98,229316,-329567.09,-66742.89,-744122.4,-92766.48,-884376.06,-704706.27,-182047.1,-103586.45,7529.52
19-Dec,-1081123.41,352841.5,-18548.81,-416762.95,313678.71,562816.03,355634.24,253889.66,327160.07,748954.07,334956.41,2148156.85,1403192.7,45018.11,1454991.55,-101517.58,-161154.19,230892.76,-339396.52,-69208.69,-766095.02,-95559.45,-910862,-725985.32,-187469.82,-108372.51,6750.73
