Bulan/Tahun,Provinsi Jawa Barat,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kabupaten Bogor,Kabupaten Sukabumi,Kabupaten Cianjur,Kabupaten Bandung,Kabupaten Garut,Kabupaten Tasikmalaya,Kabupaten Ciamis,Kabupaten Kuningan,Kabupaten Cirebon,Kabupaten Majalengka,Kabupaten Sumedang,Kabupaten Indramayu,Kabupaten Subang,Kabupaten Purwakarta,Kabupaten Karawang,Kabupaten Bekasi,Kabupaten Bandung Barat,Kabupaten Pangandaran,Kota Bogor,Kota Sukabumi,Kota Bandung,Kota Cirebon,Kota Bekasi,Kota Depok,Kota Cimahi,Kota Tasikmalaya,Kota Banjar
,Surplus dan Deficits (ton),Surplus dan Deficits (ton),Surplus dan Deficits (ton),Surplus dan Deficits (ton),Surplus dan Deficits (ton),Surplus dan Deficits (ton),Surplus dan Deficits (ton),Surplus dan Deficits (ton),Surplus dan Deficits (ton),Surplus dan Deficits (ton),Surplus dan Deficits (ton),Surplus dan Deficits (ton),Surplus dan Deficits (ton),Surplus dan Deficits (ton),Surplus dan Deficits (ton),Surplus dan Deficits (ton),Surplus dan Deficits (ton),Surplus dan Deficits (ton),Surplus dan Deficits (ton),Surplus dan Deficits (ton),Surplus dan Deficits (ton),Surplus dan Deficits (ton),Surplus dan Deficits (ton),Surplus dan Deficits (ton),Surplus dan Deficits (ton),Surplus dan Deficits (ton),Surplus dan Deficits (ton)
19-Mar,-21130.78,23771.82,13456.2,5122.1,20506.58,27395.25,16340.74,11830.26,29478.57,44970.63,19241.49,118575.4,77588.39,5468.94,87890.15,20157.79,424.05,13448.32,-9808.74,-1438.86,-21475.08,-2718.8,-26278.88,-21247.43,-5395.07,-2267.45,1175.68
19-Apr,-28562.35,15752.13,7696.34,-1882.58,12891.91,19684.51,11531.91,8045.46,20751.66,34669.73,13937.82,93453.86,60496.22,3067.29,67759.83,11003.35,-2049.54,10313.09,-9497.04,-1626.13,-20895.55,-2647.97,-25478.29,-20569.23,-5227.33,-2767.42,693
19-May,-34269.4,3766.3,-1233.89,-10758.44,1327.69,8564.32,4530.52,2443.28,8030.11,20559.06,6324.45,59833.31,37346.75,-668.89,40185.04,-3299.27,-6361.12,5997.02,-9821.73,-2083.43,-21787.36,-2765.35,-26408.84,-21267.28,-5412.42,-3848.28,-51.07
19-Jun,-35850.34,4655.08,-452.24,-11204.67,2253.39,9239,4980.78,2838.51,8854.21,21128.64,6772.74,60869.65,38174.2,-337.36,41297.83,-2008.27,-5813.27,6179.86,-9504.24,-1983.67,-21068.78,-2673.79,-25550.38,-20580.24,-5236.95,-3644.31,12.53
19-Jul,-32105.13,9653.91,3089.39,-7591.51,6972.02,14106.24,8006.25,5205.86,14342.37,27743.36,10125.92,77121.04,49189.82,1137.46,54224.6,3604.12,-4364.25,8189.93,-9817.91,-1893.73,-21695.46,-2751.65,-26370.59,-21261.44,-5407.32,-3383.04,309.96
19-Aug,-33216.69,5369.21,-56.87,-11301.5,2864.37,10073.12,5476.79,3195.4,9748.63,22515,7359.41,64539.92,40571.04,-177.11,44007.33,-1419.81,-5817.47,6594.04,-9820.69,-2031.78,-21762.34,-2761.62,-26398.43,-21265.69,-5411.03,-3721.62,47.22
19-Sep,-35911.08,4562.6,-520.15,-12963.61,2164.73,9151.96,4926.19,2795.11,8755.06,21015.8,6713.03,60598.12,37988.18,-365.73,41077.32,-2116.7,-5844.64,6145.41,-9504.3,-1986.65,-21070.22,-2674.01,-25550.98,-20580.33,-5237.03,-3651.62,6.86
19-Oct,-40524.92,-5758.67,-8228.09,-20565.18,-7803.71,-401.41,-1092.53,-2026.02,-2181.87,8936.29,174.43,31865.2,18187.01,-3591.22,17471.83,-14467.57,-9591.65,2449.33,-9827.91,-2390.32,-21936.04,-2787.51,-26470.72,-21276.73,-5420.68,-4600.94,-635.14
19-Nov,-43340.77,-6750.22,-8827.18,-22338.17,-8680.65,-1496.66,-1752.32,-2513.08,-3373.73,7211.41,-591.36,27380.33,15232.12,-3836.58,14100.78,-15381.32,-9681.55,1931.81,-9511.65,-2351.14,-21246.81,-2700.33,-25624.47,-20591.55,-5246.84,-4545.55,-686.84
19-Dec,-43507.97,-8101.38,-9948.35,-23326.51,-10049.62,-2606.57,-2475.54,-3125.26,-4693.56,6077.62,-1338.2,24986.31,13474.59,-4309.98,11885.4,-17214.47,-10386.22,1576.76,-9829.43,-2465.8,-21972.61,-2792.96,-26485.94,-21279.05,-5422.72,-4786.06,-778.79
